"","Ib_FALSE.mean_RT","Ib_FALSE.Fly_021","Ib_FALSE.Fly_023","Ib_FALSE.Fly_024","Ib_FALSE.Fly_025","Ib_FALSE.Fly_026","Ib_FALSE.Fly_031","Ib_FALSE.Fly_032","Ib_FALSE.Fly_034","Ib_FALSE.Fly_035","Ib_FALSE.Fly_036"
"P151",29.8401,29.848,29.842,29.841,29.841,29.835,29.842,29.841,29.835,29.835,29.841
"P152",29.953,0,0,0,0,0,0,29.958,0,0,0
"P153",30.05,0,30.055,0,0,0,0,0,0,0,0
"P154",30.1625555555556,30.152,30.166,30.179,30.152,30.166,30.166,0,30.152,30.166,30.159
"P155",30.25,0,0,0,0,0,0,30.255,0,0,0
"P156",30.4646666666667,30.448,0,0,0,0,30.441,30.51,0,0,0
"P157",30.61375,0,0,30.593,30.6,0,0,30.648,0,30.614,0
"P158",30.6985555555556,30.697,30.697,30.696,30.703,30.703,30.697,0,30.697,30.696,30.696
"P159",30.8236666666667,30.814,30.841,30.807,30.814,30.828,30.814,0,30.828,30.848,30.814
"P160",30.9635,0,0,0,30.993,0,0,30.944,0,0,0
"P161",31.0728,31.069,0,0,31.076,0,31.062,0,0,31.076,31.076
"P162",31.1769,31.179,31.179,31.172,31.179,31.179,31.172,31.186,31.172,31.172,31.179
"P163",31.3966666666667,0,0,31.393,0,0,0,31.406,0,0,31.386
"P164",31.6069,31.607,31.607,31.607,31.607,31.607,31.607,31.606,31.607,31.607,31.607
"P165",31.7326666666667,0,31.724,0,0,31.731,0,31.758,0,0,0
"P166",31.9901,31.986,31.986,31.979,31.986,31.986,31.986,32.041,31.979,31.986,31.986
"P167",32.094,0,0,32.089,0,0,0,0,0,0,0
"P168",32.2304444444444,32.262,32.227,32.22,32.234,32.227,0,32.234,32.221,32.227,32.227
"P169",32.3247,32.338,32.324,32.317,32.324,32.324,32.324,32.324,32.324,32.324,32.324
"P170",32.4389,32.462,32.427,32.434,32.455,32.455,32.448,32.427,32.427,32.413,32.441
"P171",32.5404,32.565,32.531,32.538,32.551,32.551,32.545,32.53,32.538,32.524,32.531
"P172",32.6683333333333,32.669,32.662,0,32.669,32.669,32.676,32.682,32.662,32.662,32.669
"P173",32.9783333333333,0,32.972,0,0,0,33,32.979,32.972,32.944,32.993
"P174",33.0623,33.069,33.062,33.027,33.068,33.096,33.076,33.061,33.055,33.041,33.068
"P175",33.094,0,0,33.089,0,0,0,0,0,0,0
"P176",33.3319,33.351,33.317,33.33,33.351,33.358,33.331,33.323,33.317,33.317,33.324
"P177",33.4499,33.462,33.448,33.448,33.468,33.468,33.427,33.441,33.448,33.441,33.448
"P178",33.562,33.572,33.551,33.565,33.579,33.579,0,33.558,33.544,0,33.558
"P179",33.663,0,0,0,0,0,0,33.668,0,0,0
"P180",33.8708571428571,33.868,0,0,0,33.875,33.868,33.882,33.862,33.861,33.875
"P181",34.0423,34.048,34.041,34.041,34.048,34.048,34.034,34.054,34.041,34.027,34.041
"P182",34.1546,34.165,34.089,34.158,34.165,34.165,34.165,34.165,34.151,34.165,34.158
"P183",34.470375,34.482,34.468,34.468,34.489,34.489,34.475,34.427,0,0,34.475
"P184",34.472,0,0,0,0,0,0,34.475,34.468,34.468,0
"P185",34.6672,0,34.689,34.641,0,34.654,0,34.661,0,34.696,0
"P186",34.785,0,34.786,0,34.785,34.799,0,0,0,0,0
"P187",34.93,34.93,34.93,34.923,34.93,34.937,34.93,34.937,34.93,34.923,34.93
"P188",35.05525,0,35.061,0,0,35.068,0,35.061,0,35.041,0
"P189",35.146,0,0,0,35.151,0,0,0,0,0,0
"P190",35.2186,35.22,35.213,35.22,35.22,35.227,35.22,35.22,35.213,35.213,35.22
"P191",35.3646666666667,35.379,0,0,35.365,35.365,0,0,0,0,0
"P192",35.459,0,0,0,0,0,0,0,0,35.454,0
"P193",35.56225,0,35.558,0,0,0,35.565,0,35.558,35.558,0
"P194",35.6475,35.661,35.648,35.634,35.668,35.661,35.648,35.64,35.641,35.627,35.647
"P195",35.726,0,35.696,35.744,35.716,35.765,35.703,35.751,0,35.737,35.696
"P196",35.7671666666667,35.779,0,0,35.765,0,35.751,35.813,35.751,0,35.744
"P197",35.8906666666667,35.896,35.882,35.882,35.896,35.889,35.889,35.916,35.889,0,35.882
"P198",36.159,0,36.165,36.158,0,0,36.165,36.185,36.137,36.137,36.151
"P199",36.2502222222222,36.227,36.268,36.261,36.234,36.234,36.268,0,36.247,36.247,36.261
"P200",36.29725,36.303,0,0,36.309,36.316,0,36.281,0,0,0
"P201",36.38,0,36.385,0,0,0,0,0,0,0,0
"P202",36.5258,36.537,36.516,36.516,36.544,36.544,36.516,36.544,36.509,36.516,36.516
"P203",36.607,0,0,0,0,0,0,36.612,0,0,0
"P204",36.683,0,0,0,0,0,0,36.688,0,0,0
"P205",36.7962,36.806,36.799,36.792,36.806,36.806,36.792,36.806,36.792,36.792,36.771
"P206",36.9705555555556,36.978,36.965,36.964,36.978,36.978,36.971,36.978,0,36.964,36.964
"P207",37.132,37.137,0,37.123,37.144,0,37.13,37.136,37.13,37.116,37.13
"P208",37.2286,37.24,37.22,37.22,37.233,37.233,37.227,37.247,37.227,37.219,37.22
"P209",37.5222,37.53,37.516,37.509,37.53,37.537,37.516,37.536,37.516,37.516,37.516
"P210",37.72,0,0,37.723,0,0,37.716,37.716,0,0,0
"P211",37.7955,0,0,0,0,0,0,37.785,0,0,37.806
"P212",37.88,0,37.882,0,37.882,37.895,0,37.881,0,0,0
"P213",37.9989,37.999,37.999,37.992,37.999,38.006,37.999,38.005,37.999,37.992,37.999
"P214",38.0944444444444,38.095,38.095,38.081,38.102,38.102,38.088,38.102,38.095,0,38.095
"P215",38.1766,38.178,38.171,38.171,38.178,38.185,38.178,38.185,38.171,38.171,38.178
"P216",38.273,0,0,0,0,0,0,0,0,38.268,0
"P217",38.423,0,38.42,38.426,0,0,0,0,0,0,0
"P218",38.6164,38.626,38.619,38.599,38.626,38.633,38.619,38.612,38.613,38.605,38.612
"P219",38.7228,38.744,38.695,38.709,38.737,38.743,38.73,38.722,38.723,38.716,38.709
"P220",38.814,0,0,0,0,0,0,38.819,0,0,0
"P221",39.1131,39.13,39.116,39.047,39.143,39.171,39.081,39.171,39.061,39.13,39.081
"P222",39.2379,39.247,39.24,39.198,39.254,39.268,39.226,39.274,39.206,39.247,39.219
"P223",39.4266,39.433,39.426,39.405,39.433,39.447,39.419,39.446,39.412,39.426,39.419
"P224",39.6564,39.64,39.661,39.654,39.681,39.647,39.688,39.646,39.661,39.66,39.626
"P225",39.808625,39.812,39.812,39.826,39.798,39.833,39.778,0,39.805,39.805,0
"P226",39.9981111111111,39.998,40.005,39.978,40.005,40.012,40.005,0,39.992,39.985,39.998
"P227",40.0936,40.109,40.081,40.067,40.116,40.123,40.109,40.088,40.088,40.081,40.074
