Peak,Compound,mean_RT,Fly_009,Fly_010,Fly_008,Fly_007,Fly_011,Fly_013,Fly_014,Fly_012,Fly_015,Fly_003
P60,,20.3878,20.381,20.395,20.381,,20.388,,,,20.394,
P61,,20.554,,,,,,,,,,20.554
P62,,20.616,,,,,,,,,,20.616
P63,,20.926,20.926,,,,,,,,,
P64,,21.0965555555556,,21.119,21.112,21.119,21.078,21.077,21.091,21.084,21.084,21.105
P65,C17_ane_NA,21.6096,21.608,21.615,21.615,21.608,21.608,21.615,21.608,21.602,21.608,21.609
P66,,21.877,,21.877,21.877,,21.877,,21.877,,21.877,
P67,,21.9352,,21.939,,,,21.939,21.926,,21.939,21.933
P68,,22.1349,22.132,22.133,22.132,22.146,22.132,22.139,22.132,22.132,22.132,22.139
P69,,22.5833333333333,22.581,22.588,,,,,22.581,,,
P70,,22.978125,22.981,22.974,22.987,22.974,22.981,,,22.974,22.98,22.974
P71,,23.1875,23.222,23.188,23.056,23.284,,,,,,
P72,,23.3873333333333,23.346,23.346,23.47,,,,,,,
P73,,23.7271,23.732,23.732,23.732,23.711,23.732,23.732,23.732,23.711,23.732,23.725
P74,,23.908,,,,23.849,,,,,,23.967
P75,,24.0513,24.056,24.049,24.056,24.056,24.043,24.056,24.049,24.049,24.049,24.05
P76,,24.277,24.277,,,,,,,,,
P77,,24.4242222222222,24.415,24.36,24.435,,24.429,24.436,24.436,24.436,24.435,24.436
P78,,24.507,,24.511,24.504,24.511,24.505,24.498,24.511,24.504,,24.512
P79,,24.6314285714286,24.635,24.636,24.628,24.635,24.622,,,24.635,,24.629
P80,,24.7425,24.739,24.746,,,,,,,,
P81,,24.93025,24.863,24.87,,,24.994,,,,,24.994
P82,,25.0653333333333,25.091,25.056,25.049,,,,,,,
P83,C19_ene_NA,25.1838888888889,,25.187,25.187,25.18,25.18,25.187,25.18,25.18,25.187,25.187
P84,,25.3343333333333,25.332,25.332,25.339,25.332,25.339,,25.339,25.325,25.332,25.339
P85,,25.587,,25.587,,,,,,,,
P86,C19_ane_NA,25.7388,25.828,25.76,25.759,25.704,25.746,25.725,25.746,25.697,25.725,25.698
P87,,25.8423333333333,,26.022,,25.752,,,,25.753,,
P88,,26.1005,26.104,26.104,26.104,26.097,26.104,26.097,26.097,26.097,26.104,26.097
P89,,26.242,,26.242,,,,,,,,
P90,,26.541,26.539,26.518,,,,,,,,26.566
P91,,26.718,26.718,,,,,,,,,
P92,,26.9785,27.056,27.001,26.98,26.952,26.973,26.945,26.952,26.952,26.966,27.008
P93,,27.2823333333333,27.29,27.277,27.29,27.276,27.283,27.276,27.283,27.283,27.283,
P94,,27.4348333333333,27.421,,,27.497,,27.421,27.428,27.414,27.428,
P95,C20_ane_NA,27.6051,27.614,27.607,27.607,27.6,27.607,27.607,27.601,27.6,27.6,27.608
P96,,27.688,27.697,27.69,27.69,,27.69,27.683,27.683,,27.683,
P97,,27.995,28,27.994,28,27.993,27.994,27.994,27.994,27.994,27.993,27.994
P98,,28.1138571428571,28.111,28.118,28.118,,28.111,28.111,28.111,,28.117,
P99,,28.425,28.435,28.428,28.421,,28.421,28.421,28.421,,28.428,
P100,,28.6976666666667,28.752,28.69,28.69,28.697,28.683,,28.69,28.697,28.683,28.697
P101,,28.821,,,,,,,,,,28.821
P102,C21_ene_NA,28.9366,28.938,28.931,28.938,28.938,28.945,28.931,28.931,28.938,28.945,28.931
P103,,29.0446,,29.042,,,,29.049,29.042,29.055,,29.035
P104,,29.1659,29.207,29.173,29.166,29.173,29.166,29.152,29.159,29.152,29.159,29.152
P105,C21_ane_NA,29.4685,29.504,29.469,29.476,29.517,29.449,29.442,29.448,29.49,29.455,29.435
P106,,29.567375,29.6,29.58,29.572,,29.545,29.552,29.566,29.566,29.558,
P107,,29.694,29.71,29.697,29.697,29.703,29.683,29.69,29.69,29.697,29.69,29.683
P108,,29.8553,29.855,29.848,29.848,29.903,29.842,29.842,29.835,29.897,29.834,29.849
P109,,29.966,,,,,,,29.966,,,
P110,,30.1345,,,,30.145,,,,30.124,,
P111,,30.2621111111111,,30.324,30.31,30.221,30.276,30.214,30.241,30.214,30.255,30.304
P112,,30.441,30.434,30.448,,,,,,,,
P113,,30.621,,30.635,,30.6,,,,,,30.628
P114,,30.6828333333333,30.676,,30.676,30.696,30.662,30.69,,30.697,,
P115,,30.789,30.8,30.793,30.786,,30.786,30.786,30.786,,30.786,
P116,C22_ene_NA,30.942375,30.959,30.945,30.945,30.938,30.945,30.931,30.938,,30.938,
P117,,31.069,,31.069,31.069,31.076,31.062,,,,,
P118,C22_ane_NA,31.1755,31.186,31.172,31.179,31.179,31.172,31.172,31.172,31.179,31.172,31.172
P119,,31.424,,31.469,,,,,,31.379,,
P120,,31.5437142857143,31.558,31.545,31.545,,31.538,31.545,31.538,,31.537,
P121,,31.6028,,31.607,,31.607,,31.6,,31.6,,31.6
P122,,31.727,31.731,31.731,31.731,,31.724,31.731,31.717,,31.724,
P123,,31.981,31.993,31.972,31.979,31.986,,31.979,,31.986,,31.972
P124,,32.2346,32.241,32.296,32.241,32.227,32.227,32.22,32.22,32.227,32.22,32.227
P125,C23_diene_NA,32.317,32.317,,32.324,32.317,,32.317,,32.317,32.31,32.317
P126,C23_ene_NA,32.4096666666667,32.42,32.414,32.413,32.427,,32.407,32.4,32.4,32.399,32.407
P127,,32.528,32.551,32.538,32.537,32.524,32.524,32.524,32.524,32.517,32.524,32.517
P128,,32.6625,32.676,32.669,32.668,32.668,32.655,32.655,32.655,32.662,32.655,32.662
P129,,32.751,,,,,32.751,,,,,
P130,C23_ane_NA,32.9136,32.931,32.903,32.924,32.993,32.862,32.924,32.876,32.924,32.882,32.917
P131,,33.0254444444444,33.034,33.027,33.034,,33.013,33.034,33.013,33.034,33.013,33.027
P132,,33.075,,,,33.075,,,,,,
P133,,33.2824,33.31,33.262,33.275,33.324,33.262,33.262,33.262,33.303,33.261,33.303
P134,,33.4263,33.427,33.413,33.427,33.448,33.413,33.427,33.42,33.434,33.42,33.434
P135,,33.648,,,,33.648,,,,,,
P136,,34.1082,34.179,34.137,34.144,34.034,34.137,34.13,34.13,34.027,34.13,34.034
P137,,34.22,,34.199,,34.241,,,,,,
P138,,34.303,,,,34.303,,,,,,
